,bid,footprint_area,PV_cap_MW,number_of_cars,car_demand_daily_per_car_MW,car_demand_daily_total_MW,charging_station_power_MW,charging_station_power_total_MW,,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap,,,,,,,,,,
61,127.7,0.01277,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.207.999.999.999.900,11.557,0,2,2,3,38.311.000.000.000.000,0.83999999999999997,321.81,48.189.999.999.999.900,3,107.27,6,1,1,1,2,62.633.000.000.000.000,54.710.000.000.000.000,53.460.419.020.000.000,78.498.839.999.999.900,22,0,23,0.13,0.19,,,,,,,,,,
62,336.94,0.033694000000000002,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.198,11.535,0,2,2,3,10.108.099.999.999.900,0.83999999999999997,84.908.000.000.000.000,127.14,5,16.981.999.999.999.900,5,1,2,1,2,81.489.999.999.999.900,144.34,14.105.095.940.000.000,14.704.382.000.000.000,18,0,23,0.47999999999999998,0.71999999999999997,,,,,,,,,,
63,33.410.000.000.000.000,0.033410000000000002,13,0.0051500000000000001,0.066949999999999996,0.010999999999999999,0.14299999999999999,,3,4,48.213.999.999.999.900,11.539.999.999.999.900,0,2,3,4,13.364.200.000.000.000,0.83999999999999997,11.225.899.999.999.900,19.756.999.999.999.900,9,124.73,26,2,1,2,1,1922.05,143.13,17.547.679.330.000.000,84.969.119.999.999.900,19,0,23,0.68000000000000005,01. Feb,,,,,,,,,,
64,75.260.000.000.000.000,0.0075259999999999997,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,15.050.999.999.999.900,0.83999999999999997,12.643.000.000.000.000,14.56,2,63.219.999.999.999.900,2,2,1,1,2,21.474.000.000.000.000,32.240.000.000.000.000,35.856.593.420.000.000,14.518.160.999.999.900,22,0,23,0.089999999999999997,0.14000000000000001,,,,,,,,,,
65,77.980.000.000.000.000,0.0077980000000000002,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.212.000.000.000.000,11.529,0,3,0,2,15.596.000.000.000.000,0.83999999999999997,13.100.999.999.999.900,15. Aug,1,13.100.999.999.999.900,1,2,1,2,1,22.877.000.000.000.000,33.409.999.999.999.900,37.155.187.009.999.900,14.171.992.000.000.000,21,0,23,0.089999999999999997,0.13,,,,,,,,,,
66,75.180.000.000.000.000,0.0075180000000000004,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,15.036.000.000.000.000,0.83999999999999997,126.3,14.539.999.999.999.900,1,126.3,1,2,1,1,1,23.633.000.000.000.000,32.210.000.000.000.000,35.820.027.390.000.000,133388.09,22,0,23,0.11,0.16,,,,,,,,,,
67,150.37,0.015037,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.215.000.000.000.000,11.528,0,3,0,2,30.074.000.000.000.000,0.83999999999999997,252.62,29. Sep,1,252.62,1,2,1,2,2,39.749.000.000.000.000,64.420.000.000.000.000,71.644.554.359.999.900,15.510.670.000.000.000,18,0,23,0.17000000000000001,0.26000000000000001,,,,,,,,,,
68,75.129.999.999.999.900,0.0075129999999999997,4,0.0051500000000000001,0.0206,0.010999999999999999,0.043999999999999997,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,150.25,0.83999999999999997,12.620.999.999.999.900,14.529.999.999.999.900,2,63.109.999.999.999.900,7,1,1,2,1,31.844.999.999.999.900,32.18,35.795.164.039.999.900,102088.08,22,0,23,0.01,0.01,,,,,,,,,,
69,78.040.000.000.000.000,0.0078040000000000002,4,0.0051500000000000001,0.0206,0.010999999999999999,0.043999999999999997,,3,4,48.212.000.000.000.000,11.529,0,3,0,2,15.606.999.999.999.900,0.83999999999999997,13.109.999.999.999.900,15. Jan,2,65.549.999.999.999.900,7,2,1,1,2,22.266.999.999.999.900,33.43,37.181.001.390.000.000,14.518.160.999.999.900,21,0,23,0.13,0.19,,,,,,,,,,
70,75.959.999.999.999.900,0.0075960000000000003,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,151.91,0.83999999999999997,127.61,14.69,2,63.799.999.999.999.900,6,2,1,2,2,200.78,32.539.999.999.999.900,36.189.850.979.999.900,15.510.670.000.000.000,21,0,23,0.11,0.17000000000000001,,,,,,,,,,
71,13.549.000.000.000.000,0.013549,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.200.000.000.000.000,11.522,0,3,0,2,27.098.000.000.000.000,0.83999999999999997,227.62,26.210.000.000.000.000,2,113.81,4,2,2,2,1,22.966.999.999.999.900,58.039.999.999.999.900,64.555.300.469.999.900,22.437.098.999.999.900,18,0,23,0.23000000000000001,0.34999999999999998,,,,,,,,,,
72,92.519.999.999.999.900,0.0092519999999999998,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.000.000.000.000,11.487,0,3,1,2,18.503.999.999.999.900,0.83999999999999997,15.543.000.000.000.000,44.700.000.000.000.000,2,77.719.999.999.999.900,4,2,1,1,2,27.848.000.000.000.000,39.640.000.000.000.000,38.484.811.969.999.900,12.097.549.000.000.000,18,0,23,0.13,0.19,,,,,,,,,,
73,93.159.999.999.999.900,0.0093159999999999996,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.216.000.000.000.000,11.489.000.000.000.000,0,3,1,2,18.633.000.000.000.000,0.83999999999999997,15.652.000.000.000.000,45.009.999.999.999.900,2,78.260.000.000.000.000,2,2,1,2,1,34.793.000.000.000.000,39.909.999.999.999.900,38.752.459.469.999.900,99.917.380.000.000.000,21,0,23,0.14999999999999999,0.22,,,,,,,,,,
74,52.689.999.999.999.900,0.0052690000000000002,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.220.999.999.999.900,11.519,0,3,1,2,105.38,0.83999999999999997,88.519.999.999.999.900,25.449.999.999.999.900,1,88.519.999.999.999.900,5,2,1,2,2,158.59,22.57,21.915.903.030.000.000,12.097.549.000.000.000,22,0,23,0.050000000000000003,0.070000000000000007,,,,,,,,,,
75,14.818.000.000.000.000,0.014818,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.216.000.000.000.000,11.488,0,3,2,2,29.636.000.000.000.000,0.83999999999999997,24.894.999.999.999.900,34.609.999.999.999.900,4,62.240.000.000.000.000,6,2,2,1,1,25.247.999.999.999.900,63.479.999.999.999.900,56.965.806.950.000.000,18.029.245.000.000.000,21,0,23,0.23000000000000001,0.34000000000000002,,,,,,,,,,
76,15.772.999.999.999.900,0.015772999999999999,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.212.000.000.000.000,11.529,0,3,2,2,31.545.999.999.999.900,0.83999999999999997,26.499.000.000.000.000,36.840.000.000.000.000,4,66.25,4,2,1,1,1,43.600.999.999.999.900,67.569.999.999.999.900,60.636.944.719.999.900,12.041.121.000.000.000,18,0,23,0.20999999999999999,0.31,,,,,,,,,,
77,142.87,0.014286999999999999,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.000.000.000.000,11.488,0,3,2,2,285.75,0.83999999999999997,240.03,33.369.999.999.999.900,3,80.010.000.000.000.000,3,1,1,2,2,38.022.000.000.000.000,61.210.000.000.000.000,54.925.083.299.999.900,12.442.635.000.000.000,22,0,23,0.25,0.37,,,,,,,,,,
78,132.19,0.013219,4,0.0051500000000000001,0.0206,0.010999999999999999,0.043999999999999997,,3,4,48.216.000.000.000.000,Nov 49,0,3,2,2,26.438.999.999.999.900,0.83999999999999997,222.09,30.870.000.000.000.000,3,74.030.000.000.000.000,7,2,1,1,1,36.542.000.000.000.000,56.630.000.000.000.000,50.819.271.649.999.900,12.041.121.000.000.000,19,0,23,0.23999999999999999,0.35999999999999999,,,,,,,,,,
79,27.641.000.000.000.000,0.027640999999999999,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.213.000.000.000.000,11.529,0,3,2,2,55.282.000.000.000.000,0.83999999999999997,464.37,64.549.999.999.999.900,5,92.870.000.000.000.000,5,2,1,1,1,76.407.000.000.000.000,118.41,106261363.3,12.041.121.000.000.000,22,0,23,0.46000000000000002,0.68999999999999995,,,,,,,,,,
80,281.38,0.028138,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.215.000.000.000.000,11.528,0,3,2,2,56.275.999.999.999.900,0.83999999999999997,47.272.000.000.000.000,65.709.999.999.999.900,5,94.540.000.000.000.000,5,1,1,2,1,86.053.999.999.999.900,12.054.000.000.000.000,10.817.190.609.999.900,110257.95,18,0,23,0.27000000000000002,0.40000000000000002,,,,,,,,,,
81,14.030.000.000.000.000,0.014030000000000001,6,0.0051500000000000001,0.0309,0.010999999999999999,0.066000000000000003,,3,4,48.212.000.000.000.000,11.529.999.999.999.900,0,3,2,2,28.061.000.000.000.000,0.83999999999999997,23.571.000.000.000.000,32.770.000.000.000.000,4,58.93,12,2,1,1,1,38.782.999.999.999.900,60.109.999.999.999.900,53.936.802.759.999.900,12.041.121.000.000.000,18,0,23,0.17000000000000001,0.25,,,,,,,,,,
82,142.91,0.014291,7,0.0051500000000000001,0.036049999999999999,0.010999999999999999,0.076999999999999999,,3,4,48.216.000.000.000.000,11.488,0,3,2,2,28.582.999.999.999.900,0.83999999999999997,240.09,33.380.000.000.000.000,4,60.020.000.000.000.000,13,2,2,2,2,12.673.999.999.999.900,61.219.999.999.999.900,54.940.198.350.000.000,29.228.983.000.000.000,18,0,23,0.17999999999999999,0.28000000000000003,,,,,,,,,,
83,900,0.089999999999999997,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.212.000.000.000.000,11.488,0,3,3,4,3600,0.83999999999999997,3024,63.067.999.999.999.900,5,60.479.999.999.999.900,5,2,2,1,2,2158.21,385.56,55.166.897.870.000.000,21.687.070.999.999.900,22,0,23,19.099.999.999.999.900,28.700.000.000.000.000,,,,,,,,,,
84,344.31,0.034431000000000003,6,0.0051500000000000001,0.0309,0.010999999999999999,0.066000000000000003,,3,4,48.215.000.000.000.000,11.528,0,3,3,4,1377.23,0.83999999999999997,11.568.699.999.999.900,24.127.000.000.000.000,9,12.853.999.999.999.900,11,1,2,2,2,93.265.999.999.999.900,147.5,21.104.826.240.000.000,19.538.557.000.000.000,22,0,23,01. May,15.700.000.000.000.000,,,,,,,,,,
85,900,0.089999999999999997,4,0.0051500000000000001,0.0206,0.010999999999999999,0.043999999999999997,,3,4,48.212.000.000.000.000,11.529,0,3,3,4,3600,0.83999999999999997,3024,63.067.999.999.999.900,8,378,8,2,2,1,2,2158.21,385.56,55.166.897.870.000.000,21.687.070.999.999.900,18,0,23,03. Feb,45.300.000.000.000.000,,,,,,,,,,
86,56.188.999.999.999.900,0.056189000000000003,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.213.000.000.000.000,11.529.999.999.999.900,0,3,3,4,22.475.700.000.000.000,0.83999999999999997,1887.96,393.75,6,31.466.000.000.000.000,6,2,1,1,1,37.988.899.999.999.900,24.071.000.000.000.000,34.442.022.719.999.900,85.260.800.000.000.000,22,0,23,Jan 49,22.400.000.000.000.000,,,,,,,,,,
87,74.150.000.000.000.000,0.0074149999999999997,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.195,11.550.000.000.000.000,0,4,0,1,74.150.000.000.000.000,0.83999999999999997,62.280.000.000.000.000,14.58,2,31.140.000.000.000.000,6,2,1,1,1,20.283.000.000.000.000,31.77,32.552.159.420.000.000,13.876.014.999.999.900,21,0,23,0.029999999999999999,0.040000000000000001,,,,,,,,,,
88,110.78,0.011077999999999999,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.000.000.000.000,11.531.000.000.000.000,0,4,0,1,110.78,0.83999999999999997,93.049.999.999.999.900,21.780.000.000.000.000,2,46.530.000.000.000.000,4,1,1,2,1,320.13,47.460.000.000.000.000,48.632.673.609.999.900,13.230.273.000.000.000,18,0,23,0.059999999999999998,0.080000000000000002,,,,,,,,,,
89,113.17,0.011317000000000001,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.216.999.999.999.900,11.529,0,4,0,1,113.17,0.83999999999999997,95.069.999.999.999.900,22.25,1,95.069.999.999.999.900,1,2,1,2,1,27.298.000.000.000.000,48.479.999.999.999.900,49.685.313.780.000.000,15.455.873.000.000.000,20,0,23,0.080000000000000002,0.12,,,,,,,,,,
90,13.721.000.000.000.000,0.013721000000000001,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.212.000.000.000.000,11.547.000.000.000.000,0,4,0,1,13.721.000.000.000.000,0.83999999999999997,115.25,26.969.999.999.999.900,1,115.25,1,1,1,2,1,39.650.999.999.999.900,58.780.000.000.000.000,60.235.945.979.999.900,13.230.273.000.000.000,20,0,23,0.11,0.17000000000000001,,,,,,,,,,
91,182.59,0.018259000000000001,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.198.999.999.999.900,11.526,0,4,0,1,182.59,0.83999999999999997,153.37,35.890.000.000.000.000,2,76.689.999.999.999.900,6,2,1,2,1,44.041.000.000.000.000,78.219.999.999.999.900,80.159.495.799.999.900,15.455.873.000.000.000,22,0,23,0.070000000000000007,0.10000000000000001,,,,,,,,,,
92,60.630.000.000.000.000,0.0060629999999999998,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.215.000.000.000.000,11.539,0,4,0,1,60.630.000.000.000.000,0.83999999999999997,50.93,Nov 92,1,50.93,3,2,1,2,1,14.622.999.999.999.900,25.969.999.999.999.900,26.615.380.079.999.900,15.455.873.000.000.000,19,0,23,0.040000000000000001,0.059999999999999998,,,,,,,,,,
93,169.69,0.016969000000000001,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.198.999.999.999.900,11.526.999.999.999.900,0,4,0,1,169.69,0.83999999999999997,14.253.999.999.999.900,33.359.999.999.999.900,2,71.269.999.999.999.900,4,2,1,1,2,414.13,72.689.999.999.999.900,74.494.940.599.999.900,15.302.176.999.999.900,22,0,23,0.070000000000000007,0.10000000000000001,,,,,,,,,,
94,149.03,0.014903,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.215.000.000.000.000,11.545,0,4,0,1,149.03,0.83999999999999997,12.518.000.000.000.000,29.300.000.000.000.000,2,62.590.000.000.000.000,4,1,1,1,2,43.492.000.000.000.000,63.840.000.000.000.000,65425458.93,13.117.492.999.999.900,21,0,23,0.050000000000000003,0.080000000000000002,,,,,,,,,,
95,61.649.999.999.999.900,0.0061650000000000003,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.203.000.000.000.000,11.537.000.000.000.000,0,4,1,3,18.494.999.999.999.900,0.83999999999999997,15.536.000.000.000.000,15.130.000.000.000.000,1,15.536.000.000.000.000,3,1,1,2,2,12.838.999.999.999.900,26.41,21378207.68,13.810.495.000.000.000,19,0,23,0.10000000000000001,0.14999999999999999,,,,,,,,,,
96,61.700.000.000.000.000,0.0061700000000000001,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.203.000.000.000.000,11.537.000.000.000.000,0,4,1,3,18.509.999.999.999.900,0.83999999999999997,15.547.999.999.999.900,15.140.000.000.000.000,1,15.547.999.999.999.900,4,1,1,1,1,15.121.000.000.000.000,26.43,21.396.049.890.000.000,120444.13,22,0,23,0.070000000000000007,0.11,,,,,,,,,,
97,59.609.999.999.999.900,0.0059610000000000002,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.203.000.000.000.000,11.537.000.000.000.000,0,4,1,3,17.883.000.000.000.000,0.83999999999999997,150.22,14.630.000.000.000.000,1,150.22,3,2,2,2,1,87.590.000.000.000.000,25.539.999.999.999.900,20.671.156.359.999.900,18.272.245.000.000.000,18,0,23,0.080000000000000002,0.12,,,,,,,,,,
98,59.609.999.999.999.900,0.0059610000000000002,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.203.000.000.000.000,11.538,0,4,1,3,17.883.000.000.000.000,0.83999999999999997,150.22,14.630.000.000.000.000,1,150.22,2,1,1,2,2,124.14,25.539.999.999.999.900,20.671.157.530.000.000,13.810.495.000.000.000,22,0,23,0.13,0.19,,,,,,,,,,
99,91.920.000.000.000.000,0.0091920000000000005,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.000.000.000.000,11.487,0,4,1,3,275.75,0.83999999999999997,231.63,22.559.999.999.999.900,2,115.81,4,2,1,1,1,20.055.000.000.000.000,39.380.000.000.000.000,31.874.044.100.000.000,132846.94,19,0,23,0.12,0.17999999999999999,,,,,,,,,,
100,94.969.999.999.999.900,0.0094970000000000002,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.000.000.000.000,11.488,0,4,1,3,28.491.000.000.000.000,0.83999999999999997,23.931.999.999.999.900,23.309.999.999.999.900,2,119.66,4,1,1,2,1,232.75,40.689.999.999.999.900,32933164.82,120444.13,18,0,23,0.14999999999999999,0.23000000000000001,,,,,,,,,,
101,63.140.000.000.000.000,0.0063140000000000002,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.203.000.000.000.000,11.538,0,4,1,3,18.941.999.999.999.900,0.83999999999999997,15.911.000.000.000.000,15. May,1,15.911.000.000.000.000,2,2,1,1,1,13.777.000.000.000.000,27.050.000.000.000.000,21.895.277.510.000.000,132846.94,18,0,23,0.089999999999999997,0.13,,,,,,,,,,
102,185.72,0.018572000000000002,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.215.000.000.000.000,Nov 49,0,4,1,3,55.716.999.999.999.900,0.83999999999999997,46.801.999.999.999.900,45.590.000.000.000.000,2,23.400.999.999.999.900,6,1,1,1,1,45.516.000.000.000.000,79.560.000.000.000.000,64.404.123.289.999.900,120444.13,21,0,23,0.11,0.17000000000000001,,,,,,,,,,
103,11.020.999.999.999.900,0.011021,4,0.0051500000000000001,0.0206,0.010999999999999999,0.043999999999999997,,3,4,48.207.999.999.999.900,11.555.999.999.999.900,0,4,2,3,330.62,0.83999999999999997,27.772.000.000.000.000,48.380.000.000.000.000,3,92.569.999.999.999.900,7,1,2,2,2,16.918.000.000.000.000,47.210.000.000.000.000,50.129.787.689.999.900,231665.31,21,0,23,0.080000000000000002,0.12,,,,,,,,,,
104,124.72,0.012472,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.213.999.999.999.900,Nov 49,0,4,2,3,37.417.000.000.000.000,0.83999999999999997,31.430.000.000.000.000,54.759.999.999.999.900,3,104.77,6,2,1,1,1,504.75,53.43,56732585.57,10.163.799.000.000.000,20,0,23,0.28999999999999998,0.44,,,,,,,,,,
105,82.849.999.999.999.900,0.0082850000000000007,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.999.999.999.900,11.529.999.999.999.900,0,4,2,3,24.855.000.000.000.000,0.83999999999999997,208.78,36.369.999.999.999.900,2,104.39,4,1,2,2,2,12.718.000.000.000.000,35.490.000.000.000.000,37.685.638.369.999.900,231665.31,19,0,23,0.050000000000000003,0.080000000000000002,,,,,,,,,,
106,39.300.999.999.999.900,0.039301000000000003,22,0.0051500000000000001,0.1133,0.010999999999999999,0.24199999999999999,,3,4,48.219.999.999.999.900,11.555,0,4,2,3,1179.04,0.83999999999999997,99.038.999.999.999.900,17.255.000.000.000.000,11,90.040.000.000.000.000,44,1,2,1,1,1023.74,168.37,17.877.036.940.000.000,14.996.226.000.000.000,19,0,23,0.46000000000000002,0.68000000000000005,,,,,,,,,,
107,13.711.000.000.000.000,0.013710999999999999,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.213.999.999.999.900,11.488,0,4,2,3,41.132.999.999.999.900,0.83999999999999997,34.551.999.999.999.900,60.200.000.000.000.000,3,115.17,6,1,1,1,2,48.942.000.000.000.000,58.740.000.000.000.000,62368003.18,113778.13,21,0,23,0.13,0.19,,,,,,,,,,
108,214.75,0.021475000000000001,6,0.0051500000000000001,0.0309,0.010999999999999999,0.066000000000000003,,3,4,48.219.000.000.000.000,11.550.000.000.000.000,0,4,2,3,64.424.000.000.000.000,0.83999999999999997,54.115.999.999.999.900,94.280.000.000.000.000,6,90.189.999.999.999.900,12,2,1,1,2,70.879.999.999.999.900,92,97.681.713.209.999.900,12.198.039.999.999.900,20,0,23,0.29999999999999999,0.45000000000000001,,,,,,,,,,
109,19.640.000.000.000.000,0.019640000000000001,3,0.0051500000000000001,0.01545,0.010999999999999999,0.033000000000000002,,3,4,48.195,11.551,0,4,2,3,58.919.000.000.000.000,0.83999999999999997,49.492.000.000.000.000,86.219.999.999.999.900,5,98.980.000.000.000.000,6,1,2,1,2,365,84.140.000.000.000.000,89.334.566.379.999.900,19.890.435.000.000.000,22,0,23,0.26000000000000001,0.39000000000000001,,,,,,,,,,
110,27.748.000.000.000.000,0.027747999999999998,9,0.0051500000000000001,0.046350000000000002,0.010999999999999999,0.099000000000000005,,3,4,48.219.000.000.000.000,11.555,0,4,2,3,83.245.000.000.000.000,0.83999999999999997,69.925.999.999.999.900,12.181.999.999.999.900,7,99.890.000.000.000.000,17,2,2,1,1,64.821.000.000.000.000,118.87,12.621.979.609.999.900,164545.47,19,0,23,0.56000000000000005,0.83999999999999997,,,,,,,,,,
111,72.319.000.000.000.000,0.072318999999999994,30,0.0051500000000000001,0.1545,0.010999999999999999,0.33000000000000002,,3,4,48.210.999.999.999.900,11.551,0,4,3,8,57.855.600.000.000.000,0.83999999999999997,48.598.699.999.999.900,90.884.000.000.000.000,20,24.299.000.000.000.000,60,1,2,1,2,28.210.900.000.000.000,30.981.999.999.999.900,65.036.750.839.999.900,207725.19,20,0,23,36.499.999.999.999.900,54.699.999.999.999.900,,,,,,,,,,
112,715.13,0.071512999999999993,20,0.0051500000000000001,0.10299999999999999,0.010999999999999999,0.22,,3,4,48.219.000.000.000.000,Nov 56,0,4,3,8,57.210.100.000.000.000,0.83999999999999997,48.056.499.999.999.900,89.870.000.000.000.000,20,240.28,40,1,1,1,1,84.375.699.999.999.900,30.636.000.000.000.000,64.311.121.779.999.900,73.549.470.000.000.000,20,0,23,41.299.999.999.999.900,62.000.000.000.000.000,,,,,,,,,,
113,654.62,0.065462000000000006,9,0.0051500000000000001,0.046350000000000002,0.010999999999999999,0.099000000000000005,,3,4,48.210.000.000.000.000,11.558,0,4,3,8,52.369.300.000.000.000,0.83999999999999997,43.990.200.000.000.000,82.265.999.999.999.900,18,24.438.999.999.999.900,18,1,1,1,2,63.251.000.000.000.000,280.44,58.869.476.929.999.900,89.121.350.000.000.000,18,0,23,Feb 25,33.700.000.000.000.000,,,,,,,,,,
114,508.25,0.050825000000000002,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.216.999.999.999.900,11.529,0,4,3,8,40.659.899.999.999.900,0.83999999999999997,34.154.400.000.000.000,63.872.000.000.000.000,3,1138.48,3,1,2,1,2,19.826.099.999.999.900,21.772.999.999.999.900,45.706.751.030.000.000,207725.19,21,0,23,24.399.999.999.999.900,36.499.999.999.999.900,,,,,,,,,,
115,46.569.999.999.999.900,0.04657,13,0.0051500000000000001,0.066949999999999996,0.010999999999999999,0.14299999999999999,,3,4,48.206.000.000.000.000,11.550.000.000.000.000,0,4,3,8,37.256.300.000.000.000,0.83999999999999997,31.295.300.000.000.000,585.25,13,24.072.999.999.999.900,26,1,1,1,1,54.946.999.999.999.900,19.950.999.999.999.900,418805941.5,73.549.470.000.000.000,19,0,23,01. Mar,19.399.999.999.999.900,,,,,,,,,,
116,83.304.999.999.999.900,0.083305000000000004,12,0.0051500000000000001,0.061800000000000001,0.010999999999999999,0.13200000000000001,,3,4,48.212.000.000.000.000,11.557,0,4,3,8,66.643.800.000.000.000,0.83999999999999997,55.980.799.999.999.900,10.469.000.000.000.000,23,24.338.999.999.999.900,23,2,1,2,2,75.458.800.000.000.000,356.88,74.915.762.170.000.000,94.796.940.000.000.000,19,0,23,11.499.999.999.999.900,Jan 72,,,,,,,,,,
117,67.353.999.999.999.900,0.067353999999999997,10,0.0051500000000000001,0.051499999999999997,0.010999999999999999,0.11,,3,4,48.209.000.000.000.000,11.550.000.000.000.000,0,4,3,8,53.883.199.999.999.900,0.83999999999999997,45.261.899.999.999.900,84.644.000.000.000.000,19,238.22,19,1,1,2,1,77.290.900.000.000.000,28.854.000.000.000.000,60.571.336.870.000.000,75.547.660.000.000.000,20,0,23,24.700.000.000.000.000,Mar 71,,,,,,,,,,
118,72.650.999.999.999.900,0.072650999999999993,40,0.0051500000000000001,0.20599999999999999,0.010999999999999999,0.44,,3,4,48.197.000.000.000.000,11.529.999.999.999.900,0,4,3,8,58.120.600.000.000.000,0.83999999999999997,48.821.300.000.000.000,91.300.999.999.999.900,20,24.411.000.000.000.000,80,1,1,2,1,83.369.099.999.999.900,31.124.000.000.000.000,65.334.705.860.000.000,75.547.660.000.000.000,22,0,23,55.899.999.999.999.900,83.900.000.000.000.000,,,,,,,,,,
119,21.825.999.999.999.900,0.021826000000000002,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.198.999.999.999.900,11.510.999.999.999.900,0,5,0,1,21.825.999.999.999.900,0.83999999999999997,183.34,41.170.000.000.000.000,2,91.670.000.000.000.000,4,1,1,1,1,509.87,93.5,101440957.3,16.812.398.999.999.900,21,0,23,0.029999999999999999,0.050000000000000003,,,,,,,,,,
120,81.930.000.000.000.000,0.0081930000000000006,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.206.000.000.000.000,11.557,0,5,0,1,81.930.000.000.000.000,0.83999999999999997,68.819.999.999.999.900,15.449.999.999.999.900,2,34.409.999.999.999.900,2,2,1,1,1,164.91,35.100.000.000.000.000,38.076.975.509.999.900,19.037.914.999.999.900,21,0,23,0.040000000000000001,0.059999999999999998,,,,,,,,,,
121,91.510.000.000.000.000,0.0091509999999999994,1,0.0051500000000000001,0.0051500000000000001,0.010999999999999999,0.010999999999999999,,3,4,48.195.999.999.999.900,11.544,0,5,0,1,91.510.000.000.000.000,0.83999999999999997,76.870.000.000.000.000,17.260.000.000.000.000,2,38.439.999.999.999.900,2,1,1,1,1,213.78,39.200.000.000.000.000,42.532.823.560.000.000,16.812.398.999.999.900,18,0,23,0.050000000000000003,0.070000000000000007,,,,,,,,,,
122,92.760.000.000.000.000,0.0092759999999999995,2,0.0051500000000000001,0.0103,0.010999999999999999,0.021999999999999999,,3,4,48.197.000.000.000.000,11.554,0,5,0,1,92.760.000.000.000.000,0.83999999999999997,77.920.000.000.000.000,17. May,2,38.960.000.000.000.000,3,1,2,1,2,11.956.999.999.999.900,39.740.000.000.000.000,43.112.326.859.999.900,27.061.472.999.999.900,20,0,23,0.040000000000000001,0.059999999999999998,,,,,,,,,,
